stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Aachen Central Station (FlixTrain),,70980,50.767788,6.091192,1,
"Aachen Central Station (FlixTrain)",70980,4844,50.767788,6.091192,,
Aachen Hbf,432866,121263,50.7678,6.091499,,100000
Aachen Schanz,,96360,50.769863,6.07384,1,
Aachen Schanz,96360,148231,50.769863,6.07384,,
Aachen Süd(Gr),,792,50.731915,6.04541,1,
Aachen Süd(Gr),792,239303,50.731915,6.04541,,
Aachen West,,534446,50.78036,6.070715,1,
Aachen West,534446,254223,50.78036,6.070715,,
"Aachen, Hauptbahnhof",,432866,50.767723,6.092051,1,
Aachen-Rothe Erde,,186125,50.770203,6.116475,1,
Aachen-Rothe Erde,186125,225129,50.770203,6.116475,,
Aalen Hauptbahnhof,,29326,48.841602,10.096031,1,
Aalen Hbf,29326,87730,48.841015,10.096271,,
Abenden,,641630,50.671085,6.476459,1,
Abenden,641630,517406,50.671085,6.476459,,
Abensberg,,621649,48.819454,11.846623,1,
Abensberg,621649,436088,48.819454,11.84662,,
Achern,130745,87158,48.63399,8.065324,,
Achern Bahnhof,,130745,48.6337,8.065003,1,
Achern Stadt,,36812,48.62554,8.068012,1,
Achern Stadt,36812,548900,48.625736,8.067706,,
Achim,506882,140538,53.015945,9.03038,,
Achim(b Bremen) (Zug),,506882,53.015995,9.030313,1,
Achkarren,143440,635111,48.06009,7.60787,,
"Achkarren, Bahnhof",,143440,48.059715,7.607994,1,
Achmer,,327422,52.390488,7.941875,1,
Achmer,327422,567323,52.39058,7.941991,,
Achterwehr,,623408,54.314915,9.964024,1,
Achterwehr,623408,359789,54.314915,9.964024,,
Adelebsen,,120781,51.577675,9.759952,1,
Adelebsen,120781,74185,51.57769,9.760044,,
Adelschlag,,366524,48.84076,11.211442,1,
Adelschlag,366524,137697,48.84076,11.211443,,
Adelsdorf(Mittelfr),,64751,49.474945,10.687041,1,
Adelsdorf(Mittelfr),64751,445885,49.474945,10.687041,,
Adelsheim Nord,201331,116478,49.42149,9.392754,,
Adelsheim Ost,438381,635319,49.403122,9.395127,,
"Adelsheim, Nordbahnhof",,201331,49.42145,9.392659,1,
"Adelsheim, Ost",,438381,49.4029,9.394968,1,
Adorf(Vogtl),105225,439725,50.324394,12.260678,,
"Adorf, Bahnhof",,105225,50.32395,12.26168,1,
"Adorf, Haltepunkt",,664718,50.763832,12.874753,1,
"Adorf, Haltepunkt",664718,62075,50.76388,12.873774,,
Affaltrach,,457502,49.137825,9.37913,1,
Affaltrach,457502,378814,49.137833,9.379012,,
Agatharied,,415302,47.766384,11.82544,1,
Agatharied,415302,646047,47.765606,11.824472,,
Agathenburg,,220188,53.56399,9.531536,1,
Agathenburg,220188,33185,53.56411,9.531244,,
Aglasterhausen,670026,626610,49.350098,8.990838,,
"Aglasterhausen, Bahnhof",,670026,49.35007,8.990771,1,
Aha,614563,65783,47.833225,8.134349,,
Aha (Schluchsee) Bahnhof,,614563,47.832996,8.134784,1,
Ahaus,328326,303220,52.08168,7.016453,,
"Ahaus, Bahnhof",,328326,52.08168,7.016453,1,
Ahlbeck Grenze,,552674,53.92284,14.215588,1,
Ahlbeck Grenze,552674,536385,53.921967,14.215549,,
Ahlbeck Ostseetherme,,178138,53.9426,14.179547,1,
Ahlbeck Ostseetherme,178138,151718,53.944427,14.177287,,
Ahlbeck Seebad,,182564,53.935627,14.188135,1,
Ahlen(Westf),347991,228576,51.761063,7.895488,,
"Ahlen, Bahnhof",,347991,51.761063,7.895491,1,
Ahlhorn,,341940,52.899258,8.209424,1,
Ahlhorn,341940,372186,52.899315,8.209366,,
Ahlhorn,341940,534501,52.899197,8.209481,,
Ahlten,10993,592758,52.37606,9.904613,,
Ahlten Bahnhof,,10993,52.376255,9.904213,1,
Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,635501,86153,51.36286,9.434109,,1
Ahnatal-Heckershausen Bahnhof,,19746,51.362984,9.422983,1,
Ahnatal-Heckershausen Gl.1 Ri. Kassel,19746,500553,51.362984,9.422983,,1
Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,19746,583241,51.362984,9.422983,,2
Ahnatal-Heckershausen Henschelweg,,635501,51.365284,9.435583,1,
Ahnatal-Weimar,,169592,51.36363,9.391588,1,
Ahnatal-Weimar,169592,165080,51.36363,9.391588,,
Ahnatal-Weimar Bahnhof,,218694,51.36363,9.392112,1,
Ahnatal-Weimar Gl.1 Ri.Wolfhagen,218694,598826,51.363407,9.391969,,1
Ahrensburg,,504345,53.669125,10.23625,1,
Ahrensburg,504345,58295,53.66917,10.236203,,
"Ahrensburg, Gartenholz",,258830,53.688686,10.251822,1,
Ahrensburg-Gartenholz,258830,376017,53.68848,10.251786,,
Ahrensfelde,317022,432589,52.571392,13.565467,,44
Ahrensfelde Friedhof,191085,226051,52.580524,13.573094,,1
Ahrensfelde Kirschenallee,231944,564575,52.58176,13.579174,,
Ahrensfelde Nord,108721,396257,52.590714,13.581945,,1
"Ahrensfelde, Friedhof Bhf",,191085,52.58049,13.572999,1,
"Ahrensfelde, Kirschenallee",,231944,52.58156,13.579325,1,
"Ahrensfelde, Nord Bhf",,108721,52.590733,13.581965,1,
Ahrweiler,651076,320108,50.54641,7.107258,,
Ahrweiler Markt,260190,57791,50.544228,7.094229,,
Aich (Niederbay),,499765,48.417313,12.398161,1,
Aich(Niederbay),499765,289762,48.417316,12.398163,,
